ticker,cik
KVUE,1944048
MDB,1441816
NTRA,1604821
KMB,55785
RJF,720005
PCG,1004980
FSNUY,904868
UI,1511737
CHT,1132924
EXPE,1324424
ADM,7084
DLMAY,2073893
DG,29534
SOFI,1818874
EME,105634
FOXA,1754301
UMC,1033767
EXR,1289490
QSR,1618756
WTW,1140536
VIK,1745201
ROL,84839
VICI,1705696
FIS,1136893
VRSK,1442145
NRG,1013871
AMRZ,2035989
BNTX,1776985
KBGGY,1535759
FLUT,1635327
TSCO,916365
MTD,1037646
SHG,1263043
LPLA,1397911
ULTA,1403568
HAL,45012
FTAI,1590364
TDY,1094285
ASHGY,1518258
DXCM,1093557
HPE,1645590
ALAB,1736297
TME,1744676
DOV,29905
DTE,936340
NTRS,73124
ZM,1585521
BAP,1001290
STLA,1605484
PHG,313216
STZ,16918
EC,1444406
AEE,1002910
CSGP,1057352
KHC,1637459
CBOE,1374310
TECK,886986
KEP,887225
HBAN,49196
FE,1031296
WIT,1123799
CQP,1383650
ATO,731802
CFG,759944
LEN,920760
PPL,922224
SYF,1601712
PAAS,771992
FTS,1666175
IRM,1020569
RSHGY,1447391
NMR,1163653
ES,72741
TPR,1116132
GFS,1709048
LITE,1633978
STM,932787
CNP,1130310
EXE,895126
STE,1757898
JBL,898293
STLD,1022671
HUBB,48898
EFX,33185
AER,1378789
ON,1097864
BIIB,875045
WRB,11544
AWK,1410636
MKL,1096343
BRO,79282
FSLR,1274494
AVB,915912
DVN,1090012
HUM,49071
CHTR,1091667
VLTO,1967680
PPG,79879
WSM,719955
CW,26324
DLTR,935703
RGLD,85535
OMC,29989
CINF,20286
NBIS,1513845
FCNCA,798941
PSTG,1474432
EQR,906107
PHM,822416
RF,1281761
FUJIY,800365
FLEX,866374
BR,1383312
EIX,827052
SQM,909037
LDOS,1336920
PBA,1546066
GIS,40704
TPL,1811074
RPRX,1802768
BCE,718940
KEY,91576
DIDIY,1764757
AXIA,1439124
ILMN,1110803
CRDO,1807794
VRSN,1014473
WAT,1000697
GELHY,1474968
TSN,100493
TLK,1001807
TROW,1113169
TPG,1880661
DRI,940944
FTI,1681459
BCH,1161125
VIV,1066119
CASY,726958
KOF,910631
AFRM,1820953
ALB,915913
OWL,1823945
FUTU,1754581
TW,1758730
TS,1190723
CHD,313927
LH,920148
CYBR,1598110
BG,1996862
CPAY,1175454
TELNY,1126113
SW,2005951
IP,51434
FWONA,1560385
LULU,1397187
WTKWY,861967
CMS,811156
PSLV,1494728
RBA,1046102
CG,1527166
VG,2007855
LUV,92380
RL,1037038
CIB,2058897
UTHR,1082554
EDPFY,1039610
EXPD,746515
TU,868675
SOAGY,1715801
GMAB,1434265
CHRW,1043277
L,60086
AS,1988894
NI,1111711
CTRA,858470
SSNC,1402436
Q,2058873
BEKE,1809587
NVR,906163
GPN,1123360
AMCR,1748790
DGX,1022079
PFG,1126328
TWLO,1447669
IHG,858446
HKHHY,1142231
LTM,1047716
CNC,1071739
INCY,879169
PKG,75677
NTAP,1002047
KTOS,1069258
RCI,733099
SBAC,1034054
WWD,108312
DOW,1751788
IREN,1878848
PTC,857005
CHKP,1015922
MTZ,15615
EXAS,1124140
BWXT,1486957
GPC,40987
JBHT,728535
CKHGF,1469059
RVMD,1628171
GIB,1061574
SNA,91440
GRAB,1855612
PKX,889132
TOST,1650164
SBS,1170858
SGI,1206264
HL,719413
WY,106535
PHYS,1477049
USFD,1665918
IFF,51253
RIVN,1874178
CX,1076378
DD,1666700
PODD,1145197
SMCI,1375365
BEP,1533232
DKS,1089063
TYL,860731
NVT,1720635
ENTG,1101302
BURL,1579298
AGI,1178819
HPQ,47217
FITBI,35527
APG,1796209
FTV,1659166
NJDCY,1158967
FN,1408710
YUMC,1673358
MRNA,1682852
EVRG,1711269
CRCL,1876042
XPEV,1810997
U,1810806
IOT,1642896
PNR,77360
IT,749251
LII,1069202
XPO,1166003
ESS,920522
BSAC,1027552
SN,1957132
WST,105770
CRS,17843
JBS,1791942
LNT,352541
RS,861884
ATI,1018963
ZTO,1677250
ZBH,1136869
MKC,63754
APTV,1521332
LI,1791706
MEDP,1668397
RTO,930157
JLL,1037976
HUBS,1404655
TXT,217346
HOLX,859737
WES,1423902
THC,70318
QXO,1236275
TRMB,864749
NLY,1043219
HII,1501585
ZG,1617640
MTSI,1493594
TLN,1622536
CDE,215466
CDW,1402057
INVH,1687229
BIP,1406234
TKO,1973266
SUI,912593
YPF,904851
J,52988
LYB,1489393
OKTA,1660134
MAA,912595
IONQ,1824920
NXT,1852131
COO,711404
TRU,1552033
RBC,1324948
PINS,1506293
WF,1264136
RGC,1829667
WMG,1319161
GFL,1780232
KSPI,1985487
ITT,216228
TTD,1671933
FFIV,1048695
WSO,105016
ROIV,1635088
EWBC,1069157
NWSA,1564708
GEN,849399
BALL,9389
HTHT,1483994
ROKU,1428439
AVAV,1368622
MKSI,1049502
AA,1675149
PUGBY,2029472
PFGC,1618673
NDSN,72331
CRBG,1889539
EMA,1127248
WPC,1025378
MGA,749098
VTRS,1792044
HMY,1023514
ONON,1858985
KRMN,2040127
ARNNY,1719117
DKNG,1883685
H,1468174
LPGCY,2068440
MLI,89439
TSEM,928876
BBIO,1743881
AKAM,1086222
GH,1576280
CF,1324404
DECK,910521
FNF,1331875
CSL,790051
SNN,845982
IEX,832101
ICLR,1060955
ARCC,1287750
ULS,1901440
ASND,1612042
GGG,42888
W,1616707
EMBJ,1355444
AVY,8818
SBSW,1786909
GDDY,1609711
ALLE,1579241
PAC,1347557
CELH,1341766
PNFP,2082866
ERIE,922621
CACI,16058
KIM,879101
LECO,59527
BILI,1723690
NVMI,1109345
FIG,1579878
PEN,1321732
EVR,1360901
MAS,62996
DPZ,1286681
WCC,929008
CLH,822818
UDR,74208
JHX,1159152
HRL,48465
BBY,764478
LYTHF,1816319
CLX,21076
PAA,1070423
TOL,794170
LOGI,1032975
RPM,110621
EQH,1333986
GWRE,1528396
EG,1095073
BLD,1633931
CNH,1567094
SOLV,1964738
FIGR,2064124
GLXY,1859392
OBICY,2077146
AMH,1562401
NBIX,914475
OKLO,1849056
BEN,38777
BMNR,1829311
IONS,874015
RVTY,31791
ALLY,40729
EQX,1756607
VNOM,2074176
REG,910606
OHI,888491
FMS,1333141
BNT,1837429
BLDR,1316835
PMDIY,2013003
JKHY,779152
CHWY,1766502
AGNC,1423689
RGA,898174
LAMR,1090425
HST,1070750
UNM,5513
NPXYY,2019040
RNR,913144
SF,720672
GLPI,1575965
UHS,352915
JEF,96223
SNAP,1564408
DSEEY,1481045
ELS,895417
PSKY,2041610
ACM,868857
SNX,1177394
IAG,1203464
CNA,21175
HLI,1302215
HAS,46080
BJ,1531152
BF-A,14693
SWK,93556
AG,1308648
AMKR,1047127
DTM,1842022
DLAKY,1049724
RBRK,1943896
RMBS,917273
GIL,1061894
GMED,1237831
DOC,765880
RYAN,1849253
TXRH,1289460
DT,1773383
JOBY,1819848
ELAN,1739104
SUZ,909327
EPAM,1352010
CMA,28412
ZBRA,877212
IVZ,914208
CCK,1219601
ALGN,1097149
FHN,36966
AIZ,1267238
WMS,1604028
TEM,1717115
NYT,71691
CRRFY,1078642
SMMT,1599298
WYNN,1174922
MP,1801368
EXEL,939767
AEG,769218
NIO,1736541
DCI,29644
UUGRY,1440130
CPT,906345
LSCC,855658
YARIY,1279956
STN,1131383
BXP,1037540
RDY,1135951
STRL,874238
APLD,1144879
PR,1658566
TIMB,1826168
MDGL,1157601
PNW,764622
CEF,1726122
BSY,1031308
SCI,89089
DY,67215
SJM,91419
DRS,1833756
QGEN,1015820
NTNX,1618732
GL,320335
WTRG,78128
DOCU,1261333
DAY,1725057
SARO,2025410
BAH,1443646
SUN,1552275
RNA,1599901
BMRN,1048477
CAE,1173382
CNM,1856525
MICC,2071668
GME,1326380
CFLT,1699838
OVV,1792580
CRL,1100682
UHAL,4457
SPXC,88205
CR,1944013
AFG,1042046
TECH,842023
AR,1433270
AES,874761
PAG,1019849
SKM,1015650
NCLTY,1801729
ASR,1123452
XP,1787425
WLK,1262823
BWA,908255
SEIC,350894
JCYGY,1289688
HBM,1322422
YMM,1838413
WBS,801337
ONTO,704532
FIVE,1177609
SAIL,2030781
PPC,802481
MANH,1056696
RRX,82811
JAZZ,1232524
BPYPP,1545772
ARMK,1584509
SSB,764038
FLS,30625
OC,1370946
TIGO,912958
BAX,10456
FDS,1013237
COKE,317540
GNRC,1474735
NGD,800166
CART,1579091
MOH,1179929
CHYM,1795586
GAP,39911
KT,892450
ENSG,1125376
WTS,795403
AOS,91142
SOLS,2064953
ARE,1035443
AIT,109563
WAL,1212545
POOL,945841
ALV,1034670
AEIS,927003
PCOR,1611052
FNMA,310522
TTMI,1116942
KLAR,2003292
TTEK,831641
WTFC,1015328
EGO,918608
BVN,1013131
REXR,1571283
OSK,775158
MOG-A,67887
AYI,1144215
TAP,24545
ORI,74260
DDS,28917
BROS,1866581
LUMN,18926
EHC,785161
EGP,49600
COMP,1563190
IESC,1048268
NCLH,1513761
AXSM,1579428
UMBF,101382
UWMC,1783398
SFD,91388
SITM,1451809
DINO,1915657
EDU,1372920
ONB,707179
SAIA,1177702
HSIC,1000228
SPIIY,2083221
GTLS,892553
MINBY,1034983
ARWR,879407
ABVX,1956827
UEC,1334933
APA,1841666
ALSN,1411207
PL,1836833
RGEN,730272
QBTS,1907982
LKNCY,1767582
ACI,1646972
MGM,789570
KAIKY,1447126
STEP,1796022
GDS,1526125
GGAL,1114700
DOX,1062579
VARRY,1919275
OGE,1021635
LINE,1868159
MOS,1285785
KNSL,1669162
USO,1327068
SWKS,4127
AM,1623925
TFII,1588823
GGB,1073404
BZLFY,1072397
KNX,1492691
AAL,6201
VMI,102729
SOTGY,1601992
TTC,737758
FRT,34903
BPOP,763901
AMG,1004434
PRAX,1689548
ZION,109380
CFR,39263
VIPS,1529192
COLB,887343
AMTM,2011286
GWKSY,2062522
OR,1627272
IDCC,1405495
CAG,23217
TTAN,1638826
UGI,884614
CUBE,1298675
MORN,1289419
LKQ,1065696
AHR,1632970
PEGA,1013857
TX,1342874
RRC,315852
CMC,22444
AGCO,880266
LEVI,94845
AUR,1828108
ADC,917251
NXE,1698535
PRI,1475922
HLNE,1433642
HALO,1159036
PSO,938323
BOKF,875357
MUSA,1573516
ATR,896622
PRIM,1361538
MBLY,1910139
CPB,16732
EQPT,1693736
CLF,764065
BRX,1581068
JBTM,1433660
CTRE,1590717
GSAT,1366868
CADE,1299939
AWI,7431
KRYS,1711279
BIO,12208
JXN,1822993
VIRT,1592386
NNN,751364
AXS,1214816
PAYC,1590955
AVTR,1722482
TFPM,1829726
LAD,1023128
VFC,103379
EMN,915389
NFG,70145
ELPC,1041792
G,1398659
IBP,1580905
ESTC,1707753
ZWS,1439288
PCTY,1591698
FR,921825
CYTK,1061983
VFS,1913510
SANM,897723
AN,350698
PLNT,1637207
LLYVA,2078416
BZ,1842827
FRHC,924805
PFSI,1745916
LNC,59558
APPF,1433195
R,85961
OMF,1584207
FND,1507079
NUVL,1861560
ENLT,1922641
MOD,67347
PATH,1734722
WING,1636222
CBSH,22356
QRVO,1604778
KVYO,1835830
ORA,1296445
GRFS,1438569
BTDPY,1516324
MTCH,891103
PSN,275880
PDI,1510599
DVA,927066
AAON,824142
CWEN,1567683
INGR,1046257
HESM,1789832
MIDD,769520
FCFS,840489
SSD,920371
MHK,851968
FLR,1124198
JHG,1274173
MASI,937556
LFUS,889331
VICR,751978
RGTI,1838359
SMTC,88941
BTG,1429937
CIFR,1819989
VOYA,1535929
DOCS,1516513
CAI,2019410
BMA,1347426
BRKR,1109354
OTEX,1002638
IDA,1057877
CAVA,1639438
BEPC,1791863
FSV,1637810
AL,1487712
CWAN,1866368
HQY,1428336
AXTA,1616862
KEX,56047
ESAB,1877322
LYFT,1759509
EXP,918646
PONY,1969302
PCVX,1649094
PB,1068851
ICL,941221
GPGI,1823144
ESI,1590714
BIRK,1977102
STAG,1479094
SNROY,1584273
BTSG,1865782
PRMB,2042694
MSA,66570
RYTM,1649904
CHDN,20212
NOV,1021860
NICE,1003935
DSGX,1050140
CIG,1157557
PJT,1626115
CIGI,913353
FROG,1800667
EAT,703351
DAR,916540
DBX,1467623
STWD,1465128
SFM,1575515
FSS,277509
SFGYY,2084022
VLY,714310
QMMM,1971542
MSGS,1636519
GKOS,1192448
OLLI,1639300
KMX,1170010
SIRI,908937
HIMS,1773751
DUOL,1562088
CAMT,1109138
ENS,1289308
CWST,911177
WFRD,1603923
VNO,899689
RITM,1556593
HUT,1964789
CRUS,772406
FBIN,1519751
GXO,1852244
SHMXY,1648512
LOAR,2000178
CGNX,851205
FAF,1472787
BYD,906553
CRK,23194
ADT,1703056
CMS-PB,201533
LMND,1691421
GATX,40211
TKR,98362
EXLS,1297989
RIOT,1167419
MAT,63276
HXL,717605
TAL,1499620
GLBE,1835963
LTH,1869198
MNDY,1845338
TXNM,1108426
SITE,1650729
LEA,842162
WULF,1083301
ORLA,1680056
CHE,19584
TRNO,1476150
NXST,1142417
GBCI,868671
GPCR,1888886
TKMTY,2044863
OTF,1747777
MKTX,1278021
AVAL,1504764
GTLB,1653482
LW,1679273
URBN,912615
ROAD,1718227
OBDC,1655888
BLTE,1889109
FNB,37808
ARW,7536
ENIC,1659939
RRR,1653653
MIR,1809987
NTSK,2063196
CORZ,1839341
SEE,1012100
ESNT,1448893
UELMO,100826
LPX,60519
NEU,1282637
LBRDA,1611983
MTG,876437
QS,1811414
VSAT,797721
THG,944695
ALGM,866291
MRCY,1049521
BXSL,1736035
LOTMY,2041918
PTCT,1070081
SWX,1692115
THO,730263
FRO,913290
UFPI,912767
RAL,2041385
EPRT,1728951
VIST,1762506
ALK,766421
BLCO,1860742
TMHC,1562476
MMYT,1495153
HR,1360604
RHP,1040829
COGT,1622229
FCN,887936
ACHR,1824502
FRMI,2071778
PIPR,1230245
SOBO,2019061
GTES,1718512
IBRX,1326110
DLB,1308547
CBC,2065601
DOO,1748797
WH,1722684
ETSY,1370637
OS,1889956
OMAB,1378239
ACT,1823529
UBSI,729986
MAIN,1396440
ESE,866706
KYMR,1815442
PNDRY,1505880
BETA,1784570
AUGO,1468642
TEO,932470
TKC,1071321
OPCH,1014739
UUUU,1385849
FORM,1039399
TGS,931427
MNSO,1815846
SSRM,921638
SNEX,913760
POR,784977
CPA,1345105
HWC,750577
LEU,1065059
HOMB,1331520
BC,14930
CHRD,1486159
AUB,883948
RDNT,790526
ACA,1739445
NE,1895262
OLED,1005284
BKH,1130464
GOLF,1672013
KBR,1357615
OPEN,1801169
WFG,1402388
ALKS,1520262
DOCN,1582961
BIPC,1788348
SLM,1032033
KD,1867072
ABCB,351569
BOOT,1610250
SRAD,1836470
IFS,1615903
RIG,1451505
FOUR,1794669
MC,1596967
FLG,910073
JSM,1593538
SMR,1822966
CRNX,1658247
VNT,1786842
M,794367
IMVT,1764013
CELC,1603454
WAY,1990354
MTDR,1520006
LGN,2052568
BCPC,9326
WEX,1309108
POWL,80420
SLFPY,1370418
PACS,2001184
CNX,1070412
CSW,1624794
MMS,1032220
SHC,1822479
RLI,84246
LSTR,853816
BLSH,1872195
MBRFY,1496919
GNTX,355811
AX,1299709
GVA,861459
ENPH,1463101
WTM,776867
BCO,78890
HRI,1364479
FLNC,1868941
ONDS,1646188
OZK,1569650
PTGX,1377121
BFAM,1437578
NIQ,2054696
KRG,1286043
SNDR,1692063
CRSP,1674416
ELF,1600033
ATAT,1853717
S,1583708
ST,1477294
MIRM,1759425
CE,1306830
PAM,1469395
POST,1530950
AQN,1174169
CCC,1818201
UGP,1094972
STUB,1337634
XNJJY,1699996
REZI,1740332
NWSGY,1449664
AGX,100591
MATX,3453
LAUR,912766
IRTC,1388658
TDS,1051512
GHC,104889
HRB,12659
PHI,78150
NPO,1164863
GPI,1031203
LAZ,1311370
SR,1126956
AROC,1389050
CVCO,278166
NOVT,1076930
CNR,1710366
FMCC,1026214
SGHC,1878057
RUSHA,1012019
MRP,2017206
VSEC,102752
MTH,833079
INGM,1897762
NJR,356309
CACC,885550
APGE,1974640
ZETA,1851003
PECO,1476204
SIGI,230557
WIX,1576789
PTXKY,1545057
TGTX,1001316
LOPE,1434588
MMSI,856982
REYN,1786431
PI,1114995
SKY,90896
EOSE,1805077
CORT,1088856
HCC,1691303
BMI,9092
LIF,1581760
SEB,88121
CHH,1046311
YKLTY,1538118
PAGP,1581990
BBAR,913059
RUN,1469367
QLYS,1107843
MTN,812011
HHH,1981792
VSNT,2067876
NG,1173420
ECG,2015845
SAIC,1571123
BGSI,2091467
IEP,813762
HAPVY,1869666
ABG,1144980
OGS,1587732
MAC,912242
CAAP,1717393
SON,91767
BILL,1786352
TMDX,1756262
NNI,1258602
MCY,64996
MGY,1698990
NSA,1618563
OSIS,1039065
WHR,106640
FLY,1860160
ATMU,1921963
MSM,1003078
BDC,913142
AB,825313
SSL,314590
PLXS,785786
NGXXF,2044153
STVN,1849853
WPP,806968
YOU,1856314
VIAV,912093
TFX,96943
SLAB,1038074
MZTI,57515
LNTH,1521036
SBRA,1492298
ACIW,935036
VCTR,1570827
CROX,1334036
ANF,1018840
SLGN,849869
EBC,1810546
FFIN,36029
HYMC,1718405
WK,1445305
MUR,717423
CRC,1609253
ITRI,780571
CGON,1991792
CSAN,1430162
TNL,1361658
TREX,1069878
CZR,1590895
SIM,887153
LB,1995807
SRRK,1727196
VSCO,1856437
FOLD,1178879
RDN,890926
CENX,949157
GPK,1408075
TCBI,1077428
FELE,38725
STNE,1745431
ACAD,1070494
BBWI,701985
ALH,1317685
ASB,7789
KC,1795589
SFBS,1430723
UPST,1647639
INTR,1864163
BTU,1064728
AMRX,1723128
PSMT,1041803
LPL,1290109
INDV,1625297
NMRK,1690680
HASI,1561894
PATK,76605
FTDR,1727263
ERELY,1454144
TMC,1798562
CUZ,25232
AVT,8858
DLO,1846832
OSCR,1568651
IBOC,315709
PPTA,1526243
ARMN,1964504
GRAL,1699031
GEF,43920
MDU,67716
ADOOY,1489079
VVV,1674910
EMAT,1866226
MWA,1350593
BGC,1094831
AKO-A,925261
ATGE,730464
KRC,1025996
AIR,1750
SOUN,1840856
HGTY,1840776
OUT,1579877
VAL,314808
ALHC,1832466
TPC,77543
CAR,723612
NWE,1993004
UCB,857855
HSAI,1861737
IRT,1466085
GLNG,1207179
TAC,1144800
FHI,1056288
QTWO,1410384
EE,1888447
EXK,1277866
CLBT,1854587
AD,821130
VISN,1517228
SKE,1713748
VRNS,1361113
SXT,310142
NVST,1757073
TFSL,1381668
BRC,746598
CALM,16160
FSK,1422183
ACLX,1786205
MARA,1507605
HPP,1482512
CNO,1224608
AEO,919012
TEX,97216
SKYW,793733
ADMA,1368514
CVLT,1169561
TBBB,1978954
AAUC,1993344
AGO,1273813
PRM,1880319
SIMO,1329394
KEN,1611005
INDB,776901
DJT,1849635
RH,1528849
CGAU,1854640
EPR,1045450
MYRG,700923
HGV,1674168
RSI,1793659
ENVA,1529864
BLLN,2070849
NEXHY,1985406
WHD,1699136
KNF,1955520
SEI,1697500
FG,1934850
YETI,1670592
LGND,886163
BULL,1866364
GFF,50725
CBT,16040
PBF,1534504
DNP,806628
IPGP,1111928
TERN,1831363
FIBK,860413
CNTA,1847903
DORM,868780
BOX,1372612
UNF,717954
NHI,877860
EXPO,851520
CWK,1628369
KAI,886346
RYN,52827
JOE,745308
GPOR,874499
VEON,1468091
SHAK,1620533
PII,931015
SKT,899715
WSC,1647088
SIG,832988
CALX,1406666
NAMS,1936258
GTX,1735707
LQDA,1819576
AZZ,8947
PAY,1841156
ERO,1853860
PLBL,2035697
LBTYA,1570585
ICUI,883984
GBTG,1820872
BHF,1685040
SMG,825542
USAR,1970622
FULT,700564
OTTR,1466593
SA,1231346
GBDC,1476765
COLD,1455863
BANF,760498
CCXI,2074973
KBH,795266
BNL,1424182
SMSEY,1560968
MEOH,886977
USLM,82020
ASO,1817358
CMBT,1604481
LBRT,1694028
LCII,763744
BKU,1504008
LCID,1811210
NAVN,1639723
EBOSY,1533082
FSM,1341335
SAND,1434614
HAYW,1834622
KFY,56679
VKTX,1607678
RNST,715072
KGS,1767042
MIAX,1438472
DNN,1063259
FBP,1057706
JOYY,1530238
CRVL,874866
ACMR,1680062
FRPT,1611647
CDP,860546
LIVN,1639691
DAN,26780
SPSC,1092699
SPHR,1795250
NP,2067129
NEA,1195737
PAGS,1712807
WSFS,828944
MAUTF,1830918
SII,1512920
CATY,861842
UTG,1263994
AHL,1267395
SLG,1040971
MHO,799292
HTGC,1280784
GNW,1276520
KNSA,1730430
WSBC,203596
FRSH,1544522
LEGN,1801198
FHB,36377
CARG,1494259
HNI,48287
CLSK,827876
PLUG,1093691
AVNT,1122976
XMTR,1657573
AVA,104918
WRBY,1504776
BXMT,1061630
